,h11_pred,h11_true
0,6,6
1,9,10
2,6,6
3,10,10
4,8,8
5,6,9
6,8,8
7,8,8
8,9,8
9,9,12
10,7,7
11,7,7
12,10,10
13,7,6
14,8,8
15,6,6
16,10,11
17,10,11
18,9,12
19,8,9
20,6,6
21,7,7
22,9,10
23,7,7
24,7,7
25,8,9
26,5,5
27,9,9
28,8,8
29,5,4
30,7,6
31,6,6
32,5,5
33,10,11
34,7,8
35,7,7
36,7,6
37,8,7
38,11,11
39,10,10
40,6,6
41,9,10
42,7,7
43,9,9
44,4,4
45,6,6
46,9,9
47,6,6
48,6,6
49,5,4
50,9,9
51,8,8
52,5,5
53,9,8
54,10,10
55,10,11
56,6,6
57,8,8
58,5,5
59,5,5
60,8,8
61,10,10
62,9,9
63,7,7
64,6,6
65,8,8
66,9,9
67,5,5
68,5,5
69,11,14
70,6,6
71,7,6
72,8,7
73,8,8
74,8,7
75,5,5
76,6,6
77,8,8
78,9,11
79,8,8
80,8,9
81,7,7
82,10,10
83,7,8
84,5,5
85,10,11
86,8,7
87,7,7
88,7,9
89,7,7
90,6,6
91,8,8
92,7,7
93,10,10
94,7,7
95,6,8
96,7,8
97,5,4
98,5,5
99,6,6
100,5,5
101,8,10
102,9,9
103,6,6
104,4,7
105,8,8
106,6,10
107,4,4
108,8,9
109,8,9
110,9,9
111,8,8
112,7,7
113,6,6
114,5,5
115,6,6
116,11,11
117,8,8
118,11,12
119,10,9
120,8,8
121,6,6
122,6,6
123,10,11
124,5,5
125,10,10
126,9,9
127,7,7
128,7,7
129,5,5
130,10,10
131,6,6
132,7,7
133,6,6
134,6,5
135,5,4
136,10,12
137,5,5
138,9,9
139,8,11
140,10,13
141,6,7
142,3,3
143,7,7
144,9,8
145,8,8
146,6,7
147,8,8
148,5,6
149,9,8
150,5,5
151,11,11
152,11,12
153,10,10
154,4,4
155,6,3
156,8,7
157,7,7
158,4,4
159,5,5
160,2,2
161,5,5
162,9,9
163,7,7
164,10,9
165,5,5
166,6,5
167,4,4
168,8,8
169,7,7
170,7,6
171,8,9
172,6,6
173,6,6
174,8,8
175,4,4
176,9,9
177,7,8
178,11,11
179,10,9
180,4,5
181,2,3
182,8,8
183,8,10
184,7,7
185,9,10
186,8,12
187,8,8
188,8,7
189,8,8
190,6,6
191,9,9
192,7,9
193,6,6
194,8,8
195,8,8
196,6,6
197,7,7
198,9,8
199,5,4
200,9,9
201,10,10
202,8,9
203,9,9
204,4,4
205,6,7
206,9,10
207,4,4
208,5,5
209,7,6
210,8,8
211,6,6
212,8,8
213,5,5
214,7,7
215,10,10
216,11,14
217,9,7
218,5,5
219,9,10
220,5,5
221,7,5
222,7,7
223,6,5
224,8,9
225,9,9
226,7,7
227,8,7
228,8,7
229,6,6
230,6,6
231,7,8
232,7,8
233,7,7
234,5,5
235,7,7
236,10,11
237,7,9
238,9,10
239,10,11
240,5,5
241,8,7
242,6,6
243,6,5
244,3,8
245,12,11
246,5,4
247,8,8
248,6,6
249,8,8
250,6,6
251,6,6
252,8,9
253,7,6
254,10,10
255,11,11
256,7,8
257,10,9
258,9,11
259,6,7
260,4,4
261,9,8
262,8,8
263,2,2
264,9,9
265,6,5
266,10,9
267,6,5
268,9,8
269,6,7
270,8,8
271,8,7
272,7,6
273,8,6
274,5,5
275,8,8
276,10,12
277,8,7
278,8,8
279,7,8
280,8,9
281,7,7
282,4,4
283,9,8
284,4,4
285,6,6
286,3,4
287,9,11
288,7,7
289,8,8
290,6,6
291,7,7
292,7,8
293,7,7
294,8,8
295,6,8
296,7,6
297,6,6
298,12,11
299,4,3
300,5,4
301,5,5
302,6,6
303,7,7
304,11,13
305,7,7
306,7,8
307,7,8
308,9,10
309,9,8
310,8,8
311,3,4
312,9,13
313,9,9
314,7,6
315,6,6
316,8,8
317,7,7
318,4,5
319,7,7
320,6,7
321,8,6
322,9,9
323,8,8
324,7,6
325,6,6
326,7,7
327,9,8
328,7,7
329,8,8
330,6,5
331,7,6
332,5,4
333,11,10
334,3,3
335,5,5
336,6,6
337,7,6
338,12,13
339,10,10
340,4,4
341,8,9
342,6,6
343,8,8
344,3,4
345,3,4
346,6,6
347,9,9
348,7,7
349,8,8
350,8,8
351,10,10
352,8,8
353,8,7
354,7,6
355,7,6
356,8,9
357,7,5
358,7,7
359,8,8
360,5,5
361,7,7
362,8,8
363,7,6
364,9,9
365,8,8
366,5,5
367,3,3
368,3,4
369,9,9
370,10,11
371,8,12
372,10,11
373,10,10
374,8,10
375,7,7
376,7,12
