,h11_pred,h11_true
0,8,8
1,6,8
2,9,8
3,7,8
4,6,6
5,8,8
6,6,6
7,6,6
8,7,6
9,4,4
10,7,8
11,11,10
12,10,9
13,8,7
14,5,7
15,12,12
16,6,5
17,9,8
18,9,9
19,6,6
20,5,5
21,7,6
22,9,9
23,6,6
24,5,4
25,9,8
26,11,11
27,6,6
28,9,9
29,5,5
30,8,7
31,8,9
32,8,8
33,6,5
34,6,6
35,6,6
36,5,5
37,5,5
38,10,10
39,8,8
40,6,6
41,8,8
42,7,7
43,8,9
44,9,9
45,9,11
46,8,8
47,7,6
48,7,6
49,8,10
50,5,4
51,10,10
52,8,10
53,10,10
54,7,7
55,7,7
56,9,9
57,4,4
58,6,6
59,9,8
60,9,9
61,7,7
62,9,9
63,4,4
64,5,5
65,6,6
66,5,5
67,7,7
68,5,5
69,10,10
70,8,9
71,8,7
72,8,8
73,7,7
74,6,5
75,7,9
76,8,9
77,5,5
78,6,6
79,7,19
80,8,8
81,5,5
82,5,5
83,7,6
84,8,8
85,11,11
86,6,6
87,8,8
88,9,7
89,8,8
90,6,6
91,3,3
92,7,5
93,7,8
94,9,9
95,6,6
96,8,7
97,7,7
98,6,5
99,6,5
100,9,11
101,7,7
102,7,8
103,8,7
104,8,8
105,6,9
106,4,3
107,5,5
108,7,5
109,10,11
110,10,9
111,7,9
112,9,9
113,6,7
114,6,6
115,9,9
116,8,8
117,7,7
118,5,5
119,10,10
120,8,8
121,8,8
122,6,6
123,7,7
124,5,5
125,6,7
126,6,6
127,11,11
128,9,7
129,6,7
130,7,7
131,6,7
132,9,9
133,5,5
134,3,6
135,6,6
136,7,7
137,11,13
138,8,7
139,3,3
140,9,10
141,4,4
142,6,6
143,11,10
144,6,5
145,5,5
146,5,5
147,7,7
148,7,7
149,9,9
150,6,8
151,8,9
152,10,10
153,8,7
154,7,7
155,10,10
156,8,7
157,12,12
158,6,6
159,10,9
160,4,4
161,8,0
162,10,10
163,9,7
164,5,5
165,4,5
166,8,8
167,7,7
168,9,8
169,9,9
170,9,9
171,6,6
172,5,5
173,9,8
174,6,8
175,5,5
176,9,10
177,9,13
178,12,13
179,5,5
180,6,6
181,9,11
182,12,11
183,7,7
184,7,7
185,10,9
186,9,9
187,8,7
188,9,9
189,6,6
190,7,8
191,10,10
192,7,8
193,7,10
194,6,6
195,9,11
196,6,6
197,8,8
198,4,4
199,4,4
200,7,7
201,7,8
202,10,11
203,9,9
204,5,5
205,6,6
206,9,9
207,7,7
208,9,9
209,5,4
210,7,7
211,8,9
212,8,8
213,9,7
214,9,9
215,7,7
216,11,11
217,5,5
218,9,12
219,6,6
220,9,10
221,6,5
222,6,6
223,7,7
224,6,6
225,9,9
226,6,7
227,9,10
228,8,7
229,10,10
230,6,8
231,8,8
232,9,9
233,11,11
234,8,8
235,6,6
236,7,7
237,8,8
238,9,9
239,1,3
240,8,8
241,6,6
242,9,8
243,7,7
244,7,6
245,8,7
246,8,8
247,4,4
248,6,7
249,9,10
250,9,8
251,6,6
252,12,14
253,9,8
254,8,8
255,9,8
256,9,10
257,6,6
258,7,9
259,7,7
260,8,9
261,7,9
262,6,5
263,7,7
264,6,6
265,8,8
266,4,4
267,8,8
268,6,8
269,11,11
270,8,7
271,10,9
272,5,5
273,9,9
274,6,6
275,9,9
276,11,11
277,5,5
278,10,10
279,10,10
280,7,7
281,7,7
282,6,9
283,8,9
284,2,3
285,5,4
286,7,7
287,7,7
288,7,7
289,7,7
290,10,11
291,5,5
292,9,10
293,7,7
294,5,5
295,7,7
296,7,7
297,7,7
298,6,6
299,5,4
300,9,9
301,5,5
302,9,8
303,9,8
304,8,7
305,7,7
306,8,8
307,9,8
308,8,7
309,8,8
310,7,7
311,8,8
312,8,8
313,11,12
314,6,6
315,7,6
316,7,8
317,8,7
318,4,3
319,11,12
320,6,6
321,10,10
322,9,10
323,5,4
324,8,8
325,6,0
326,7,8
327,8,8
328,10,9
329,9,8
330,7,7
331,5,5
332,10,10
333,11,14
334,10,9
335,9,8
336,9,11
337,5,5
338,8,8
339,8,9
340,7,7
341,8,8
342,6,6
343,11,10
344,3,3
345,7,6
346,6,6
347,9,9
348,9,8
349,7,6
350,6,8
351,6,6
352,4,4
353,10,10
354,7,7
355,6,7
356,8,9
357,7,7
358,7,6
359,8,8
360,10,10
361,7,7
362,11,13
363,9,8
364,9,10
365,5,5
366,7,7
367,6,6
368,6,6
369,6,7
370,7,6
371,8,8
372,9,9
373,7,7
374,8,7
375,5,5
376,9,9
377,11,11
378,8,8
379,5,5
380,6,6
381,6,6
382,10,9
383,7,7
384,7,5
385,6,6
386,4,4
387,9,9
388,7,7
389,5,5
390,10,11
391,5,5
392,7,7
393,8,11
394,6,5
395,8,7
396,12,12
397,10,11
398,5,7
399,5,5
400,8,7
401,8,8
402,11,12
403,5,4
404,6,5
405,10,12
406,7,7
407,9,9
408,6,6
409,9,9
410,8,8
411,5,5
412,7,7
413,9,10
414,10,10
415,6,6
416,7,6
417,6,6
418,10,9
419,7,6
420,10,10
421,5,5
422,6,6
423,9,9
424,5,4
425,8,8
426,6,6
427,5,4
428,9,9
429,9,9
430,9,8
431,6,5
432,6,6
433,5,7
434,8,8
435,4,4
436,9,9
437,7,7
438,9,10
439,10,11
440,5,5
441,10,11
442,5,5
443,9,9
444,7,5
445,6,6
446,7,7
447,8,7
448,8,10
449,10,9
450,6,6
451,7,7
452,6,6
453,9,8
454,6,6
455,7,8
456,9,9
457,10,11
458,10,10
459,11,11
460,4,4
461,4,5
462,4,4
463,5,4
464,6,7
465,6,6
466,8,9
467,7,7
468,8,9
469,8,10
470,8,8
471,6,6
472,7,8
473,7,7
474,7,9
475,6,5
476,7,7
477,11,13
478,6,6
479,6,6
480,6,6
481,5,5
482,8,9
483,10,5
484,10,9
485,6,6
486,8,8
487,8,7
488,9,10
489,7,5
490,9,9
491,7,7
492,6,6
493,8,8
494,10,11
495,6,5
496,4,4
497,6,6
498,9,9
499,6,8
500,9,8
501,7,7
502,7,7
503,9,9
504,7,7
505,6,7
506,3,3
507,8,8
508,6,7
509,9,9
510,10,12
511,8,9
512,9,9
513,6,4
514,7,6
515,7,7
516,7,5
517,10,12
518,6,6
519,8,8
520,5,5
521,7,6
522,8,8
523,6,5
524,11,11
525,8,9
526,9,9
527,8,8
528,8,7
529,7,7
530,8,8
531,6,5
532,9,8
533,2,2
534,8,9
535,5,5
536,7,7
537,11,11
538,9,9
539,8,8
540,4,5
541,11,12
542,7,8
543,7,8
544,5,5
545,5,5
546,2,2
547,8,9
548,9,9
549,6,6
550,8,6
551,6,10
552,10,10
553,7,9
554,8,8
555,9,0
556,6,6
557,7,8
558,2,2
559,10,12
560,10,12
561,8,8
562,7,7
563,6,6
564,7,8
565,7,9
566,8,8
567,6,6
568,12,13
569,9,9
570,7,7
571,8,7
572,12,10
573,8,8
574,9,11
575,7,7
576,8,8
577,6,6
578,7,8
579,9,8
580,6,6
581,9,9
582,8,8
583,7,7
584,9,9
585,8,8
586,12,11
587,5,5
588,6,6
589,7,7
590,9,9
591,7,7
592,8,8
593,9,9
594,8,7
595,7,6
596,8,14
597,11,14
598,12,13
599,8,8
600,7,7
601,6,6
602,11,9
603,10,10
604,5,5
605,7,7
606,6,6
607,6,5
608,10,11
609,8,9
610,8,8
611,8,8
612,6,5
613,9,9
614,9,8
615,8,7
616,8,8
617,8,8
618,5,8
619,9,9
620,7,19
621,6,6
622,7,8
623,7,8
624,9,9
625,10,9
626,7,7
627,8,8
628,8,11
629,9,11
630,9,8
631,6,6
632,10,11
633,4,4
634,11,11
635,5,5
636,6,10
637,10,9
638,6,6
639,5,5
640,7,7
641,7,7
642,4,5
643,8,9
644,5,5
645,7,7
646,5,5
647,10,10
648,7,7
649,8,7
650,10,9
651,7,6
652,7,7
653,9,9
654,8,10
655,6,5
656,6,5
657,8,8
658,6,8
659,7,8
660,8,8
661,5,7
662,6,7
663,4,11
664,6,6
665,4,3
666,6,6
667,7,5
668,8,8
669,5,6
670,7,7
671,9,10
672,6,8
673,8,8
674,8,8
675,7,7
676,9,9
677,7,6
678,6,8
